Ref,Val,Package,PosX,PosY,Rot,Side
"J2","MicroSD SPI","MicroSD_SPI_small",151.672000,-98.448000,90.000000,bottom
"SW1","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",138.176000,-88.270000,90.000000,bottom
"SW2","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",138.176000,-98.860000,90.000000,bottom
"SW3","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",138.176000,-109.220000,90.000000,bottom
