Designator,Mid X,Mid Y,Rotation,Layer
J1,147.82,-67.2,0.0,top
J2,151.672,-98.448,90.0,bottom
SW1,138.176,-88.27,90.0,bottom
SW2,138.176,-98.86,90.0,bottom
SW3,138.176,-109.22,90.0,bottom
U2,156.509,-84.7792,270.0,top
